"Date (UTC)","CorrelationId","Service","Category","Activity","Result","ResultReason","User Agent","ActorType","ActorDisplayName","ActorObjectId","ActorUserPrincipalName","IPAddress","ActorHomeTenantId","ActorHomeTenantName","ActorServicePrincipalId","ActorServicePrincipalName","Target1Type","Target1DisplayName","Target1ObjectId","Target1UserPrincipalName","Target1ModifiedProperty1Name","Target1ModifiedProperty1OldValue","Target1ModifiedProperty1NewValue","Target1ModifiedProperty2Name","Target1ModifiedProperty2OldValue","Target1ModifiedProperty2NewValue","Target1ModifiedProperty3Name","Target1ModifiedProperty3OldValue","Target1ModifiedProperty3NewValue","Target1ModifiedProperty4Name","Target1ModifiedProperty4OldValue","Target1ModifiedProperty4NewValue","Target1ModifiedProperty5Name","Target1ModifiedProperty5OldValue","Target1ModifiedProperty5NewValue","Target2Type","Target2DisplayName","Target2ObjectId","Target2UserPrincipalName","Target2ModifiedProperty1Name","Target2ModifiedProperty1OldValue","Target2ModifiedProperty1NewValue","Target2ModifiedProperty2Name","Target2ModifiedProperty2OldValue","Target2ModifiedProperty2NewValue","Target2ModifiedProperty3Name","Target2ModifiedProperty3OldValue","Target2ModifiedProperty3NewValue","Target2ModifiedProperty4Name","Target2ModifiedProperty4OldValue","Target2ModifiedProperty4NewValue","Target2ModifiedProperty5Name","Target2ModifiedProperty5OldValue","Target2ModifiedProperty5NewValue","Target3Type","Target3DisplayName","Target3ObjectId","Target3UserPrincipalName","Target3ModifiedProperty1Name","Target3ModifiedProperty1OldValue","Target3ModifiedProperty1NewValue","Target3ModifiedProperty2Name","Target3ModifiedProperty2OldValue","Target3ModifiedProperty2NewValue","Target3ModifiedProperty3Name","Target3ModifiedProperty3OldValue","Target3ModifiedProperty3NewValue","Target3ModifiedProperty4Name","Target3ModifiedProperty4OldValue","Target3ModifiedProperty4NewValue","Target3ModifiedProperty5Name","Target3ModifiedProperty5OldValue","Target3ModifiedProperty5NewValue","AdditionalDetail1Key","AdditionalDetail1Value","AdditionalDetail2Key","AdditionalDetail2Value","AdditionalDetail3Key","AdditionalDetail3Value","AdditionalDetail4Key","AdditionalDetail4Value","AdditionalDetail5Key","AdditionalDetail5Value","AdditionalDetail6Key","AdditionalDetail6Value"
"2026-09-21T21:26:26.522838Z","3d054433-64b8-438c-b1cf-687d497203ba","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:23:59.766151Z","c9287678-eec8-4123-875d-6254938d4f7d","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:20:30.056009Z","5dbda3b0-cacc-4d49-8940-8b524d860531","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADProvisioning.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:19:14.2614129Z","594d62e2-a828-4491-9f65-14214bb82a4c","Core Directory","ApplicationManagement","Consent to application","Success","","","User","Azure ESTS Service","ece3dbf2-0359-4dea-9ac6-97f455a06247","jeremy.admin@1x76s5767.onmicrosoft.com","172.215.180.170","","","","","ServicePrincipal","Microsoft Graph Command Line Tools","c688313e-e330-4aef-a38d-7c56fb303018","","ConsentContext.IsAdminConsent","","""True""","ConsentContext.IsAppOnly","","""False""","ConsentContext.OnBehalfOfAll","","""True""","ConsentContext.Tags","","""WindowsAzureActiveDirectoryIntegratedApp""","ConsentAction.Permissions","","""[[Id: PjGIxjDj70qjjXxW-zAwGKrS9H_z-vxKi9AI7-zBIO0, ClientId: c688313e-e330-4aef-a38d-7c56fb303018, PrincipalId: , ResourceId: 7ff4d2aa-faf3-4afc-8bd0-08efecc120ed, ConsentType: AllPrincipals, Scope:  Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All, CreatedDateTime: , LastModifiedDateTime ]] => [[Id: PjGIxjDj70qjjXxW-zAwGKrS9H_z-vxKi9AI7-zBIO0, ClientId: c688313e-e330-4aef-a38d-7c56fb303018, PrincipalId: , ResourceId: 7ff4d2aa-faf3-4afc-8bd0-08efecc120ed, ConsentType: AllPrincipals, Scope:  Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All, CreatedDateTime: , LastModifiedDateTime ]]; ""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","EvoSTS","AppId","14d82eec-204b-4c2f-b7e8-296a70dab67e","ServicePrincipalProvisioningType","Other","","","","","",""
"2026-09-21T21:19:14.2464119Z","594d62e2-a828-4491-9f65-14214bb82a4c","Core Directory","ApplicationManagement","Remove delegated permission grant","Success","","","User","Azure ESTS Service","ece3dbf2-0359-4dea-9ac6-97f455a06247","jeremy.admin@1x76s5767.onmicrosoft.com","172.215.180.170","","","","","ServicePrincipal","Microsoft Graph","7ff4d2aa-faf3-4afc-8bd0-08efecc120ed","","DelegatedPermissionGrant.Scope",""" Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All""",""" Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All LicenseAssignment.ReadWrite.All""","DelegatedPermissionGrant.ConsentType","""AllPrincipals""","""AllPrincipals""","ServicePrincipal.ObjectID","","""c688313e-e330-4aef-a38d-7c56fb303018""","ServicePrincipal.DisplayName","","","ServicePrincipal.AppId","","","ServicePrincipal","","c688313e-e330-4aef-a38d-7c56fb303018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","EvoSTS","AppId","00000003-0000-0000-c000-000000000000","ServicePrincipalProvisioningType","Other","","","","","",""
"2026-09-21T21:19:14.2444112Z","594d62e2-a828-4491-9f65-14214bb82a4c","Core Directory","ApplicationManagement","Add delegated permission grant","Success","","","User","Azure ESTS Service","ece3dbf2-0359-4dea-9ac6-97f455a06247","jeremy.admin@1x76s5767.onmicrosoft.com","172.215.180.170","","","","","ServicePrincipal","Microsoft Graph","7ff4d2aa-faf3-4afc-8bd0-08efecc120ed","","DelegatedPermissionGrant.Scope",""" Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All""",""" Group.Read.All User.Read.All Organization.Read.All offline_access profile openid User.ReadWrite.All User-PasswordProfile.ReadWrite.All LicenseAssignment.ReadWrite.All""","DelegatedPermissionGrant.ConsentType","""AllPrincipals""","""AllPrincipals""","ServicePrincipal.ObjectID","","""c688313e-e330-4aef-a38d-7c56fb303018""","ServicePrincipal.DisplayName","","","ServicePrincipal.AppId","","","ServicePrincipal","","c688313e-e330-4aef-a38d-7c56fb303018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","User-Agent","EvoSTS","AppId","00000003-0000-0000-c000-000000000000","ServicePrincipalProvisioningType","Other","","","","","",""
"2026-09-21T21:18:53.469006Z","49868aba-7b4b-45ba-845c-edd682c052d0","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:18:49.316202Z","5b549b05-1f30-4534-ba23-8014e26439d7","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:16:32.968823Z","4398ffd4-5f44-489b-ae6a-db24f2a2ad9c","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:13:45.703584Z","919c261e-05fc-4022-ad1d-2547e81b0e74","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:13:41.188465Z","8c370777-b358-4f6e-8fd4-b28255923109","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:12:19.063492Z","0cff7563-0bb8-49b5-a3a8-4bfd0a523c98","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADProvisioning.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:12:15.252625Z","4a0d26ae-5c60-4de8-80c3-c4859609e5b7","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:08:32.439886Z","43265e9a-9544-4e84-9d45-fecaa6eb9dd9","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:08:28.635289Z","0640c1a5-97c5-49bd-be8c-557a79a300e2","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:06:19.586086Z","336b67a6-a0ba-4971-8e02-b8b14dfce0ea","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:06:13.085936Z","6600aece-5289-450a-abd4-f11e9f9bca19","Account Provisioning","ProvisioningManagement","Import","Success","Retrieved TenantDetail '1x76s5767' from Microsoft Entra ID","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","","00000000-0000-0000-0000-000000000000","","objectId","","""c5c35630-13b6-4e04-b403-65f725a22494""","dirSyncEnabled","","""True""","countryLetterCode","","""US""","displayName","","""1x76s5767""","technicalNotificationMails","","""Jeremy.Fontenot@us.logicalis.com""","Other","1x76s5767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","","ErrorCode","","EventName","EntryImport","JoiningProperty","1x76s5767","SourceAnchor","c5c35630-13b6-4e04-b403-65f725a22494","TargetAnchor",""
"2026-09-21T21:03:17.446944Z","2bb62804-cd48-4db4-81f8-e3dc3e917a66","Account Provisioning","ProvisioningManagement","Execution","Success","Started new iteration to synchronize changes for application ad.jeremyfontenot.online","","Application","Azure AD Cloud Sync","","","","","","","","ServicePrincipal","ad.jeremyfontenot.online","58531f6b-3016-4d86-920a-58ac6bc26f30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Details","Job ID: AD2AADPasswordHash.c5c3563013b64e04b40365f725a22494.62194e33-bfb8-46e1-a895-4b4b5416f1fd","ErrorCode","","EventName","ProvisioningJobStartedIncrementalSync","JoiningProperty","","SourceAnchor","","TargetAnchor",""
"2026-09-21T21:01:34.563271Z","866c8ab8-59a9-4089-9264-547622816681","Self-service Group Management","GroupManagement","GroupsODataV4_Get","Success","OK","","Application","jeremy.admin@1x76s5767.onmicrosoft.com","","","","","","ece3dbf2-0359-4dea-9ac6-97f455a06247","","Other","Unknown","00000000-0000-0000-0000-000000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RequestId","4bc36155-c9db-4e9f-9be9-9ae87270d10e","","","","","","","","","",""
"2026-09-21T21:01:34.433366Z","73129732-9a29-4139-b4f0-bd7dd00b8a99","Self-service Group Management","GroupManagement","GroupsODataV4_Get","Success","OK","","Application","jeremy.admin@1x76s5767.onmicrosoft.com","","","","","","ece3dbf2-0359-4dea-9ac6-97f455a06247","","Other","Unknown","00000000-0000-0000-0000-000000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RequestId","cb8c7e0e-5fba-400a-be17-580a659094e7","","","","","","","","","",""
