page,link_text,target,resolution_status,target_exists,target_type,problem,recommended_fix
archive/pre-site-upgrade-20260602/projects.html,Open Evidence Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/projects.html,Proxmox host evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Windows Server evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Conditional Access evidence,./evidence-library/conditional-access/conditional-access-baseline-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,VLAN architecture case study,./evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Architecture diagram,./evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.svg,BROKEN,NO,VISUAL,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Network validation notes,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Provisioning evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/projects.html,Open Proof Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/projects.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/projects.html,Proof Library,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/projects.html,Evidence library,./evidence-library/index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/proof.html,Open Evidence Index,./evidence-library/index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Conditional Access evidence,./evidence-library/conditional-access/conditional-access-baseline-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Microsoft 365 architecture notes,./evidence-library/architecture/microsoft-365-architecture-overview.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Windows Server evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,identity access change notes,./evidence-library/projects/identity-access/identity-access-change-record-notes-2026.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,VLAN architecture case study,./evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,architecture diagram,./evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.svg,BROKEN,NO,VISUAL,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,network validation notes,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,firewall rule evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,DHCP/DNS evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Proxmox host evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,VPN evidence,./evidence-library/vpn/vpn-configuration-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,preserved home lab PDF,./evidence-library/projects/home-lab/lab-portfolio-preserved.pdf,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Provisioning script evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,change record evidence,./evidence-library/automation/provisioning-change-record-evidence.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,framework validation,./evidence-library/automation/automation-framework-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Incident summary evidence,./evidence-library/incidents/incident-summary-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,RCA report,./evidence-library/projects/troubleshooting-rca/rca-report.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open Architecture Evidence,./evidence-library/architecture/microsoft-365-architecture-overview.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open Server Evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open case study,./evidence-library/projects/infrastructure-networking/vlan-architecture-walkthrough-2026.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open diagram,./evidence-library/architecture-diagrams/vlan-architecture-diagram-dark.svg,BROKEN,NO,VISUAL,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open network validation lab notes,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open DHCP and DNS evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open firewall rule evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open VPN configuration evidence,./evidence-library/vpn/vpn-configuration-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open Proxmox host evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open Windows Server evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/architecture/microsoft-365-architecture-overview.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/conditional-access/conditional-access-baseline-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/windows-server/windows-server-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/network/dhcp-dns-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Open evidence,./evidence-library/network/network-validation-lab-notes.md,BROKEN,NO,PROCEDURE,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Proxmox Evidence,./evidence-library/proxmox/proxmox-host-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,pfSense Evidence,./evidence-library/network/firewall-rules-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,PowerShell Evidence,./evidence-library/automation/provisioning-script-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/proof.html,Evidence Library,./evidence-library/index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/resume.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/service-desk-rca.html,Proof,./proof.html,OK,YES,LIMITATION,,
archive/pre-site-upgrade-20260602/service-desk-rca.html,Open Incident Evidence,./evidence-library/incidents/incident-summary-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/service-desk-rca.html,Open RCA Report,./evidence-library/projects/troubleshooting-rca/rca-report.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
archive/pre-site-upgrade-20260602/service-desk-rca.html,Open incident summary evidence,./evidence-library/incidents/incident-summary-evidence.md,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
contact.html,Proof,./proof.html,OK,YES,LIMITATION,,
contact.html,Proof,./proof.html,OK,YES,LIMITATION,,
contact.html,Current home-lab manifest,./evidence-library/projects/on-prem-home-lab/current-validated-state/manifest.json,OK,YES,INDEX,,
contact.html,Download the Professional Home Lab Documentation (.docx),./assets/documents/Jeremy-Fontenot-On-Premises-Home-Lab-Documentation.docx,OK,YES,SUPPORTING,,
contact.html,Microsoft 365 proof inventory,./evidence-library/projects/microsoft-365-lab/m365-entra-proof-inventory-20260605.csv,OK,YES,PRIMARY,,
contact.html,Screenshot evidence review,./artifacts/site-audit/screenshot-review.md,OK,YES,LIMITATION,,
dashboard.html,Proof,./proof.html,OK,YES,LIMITATION,,
dashboard.html,audit Open,./artifacts/site-audit/live-repository-drift.md,OK,YES,LIMITATION,,
dashboard.html,review Open,./artifacts/site-audit/screenshot-review.md,OK,YES,LIMITATION,,
dashboard.html,docx Download,./assets/documents/Jeremy-Fontenot-On-Premises-Home-Lab-Documentation.docx,OK,YES,SUPPORTING,,
dashboard.html,proof Open,./proof.html#home-lab-proof,OK,YES,LIMITATION,,
dashboard.html,Proof,./proof.html,OK,YES,LIMITATION,,
dashboard.html,Current home-lab manifest,./evidence-library/projects/on-prem-home-lab/current-validated-state/manifest.json,OK,YES,INDEX,,
dashboard.html,Download the Professional Home Lab Documentation (.docx),./assets/documents/Jeremy-Fontenot-On-Premises-Home-Lab-Documentation.docx,OK,YES,SUPPORTING,,
dashboard.html,Microsoft 365 proof inventory,./evidence-library/projects/microsoft-365-lab/m365-entra-proof-inventory-20260605.csv,OK,YES,PRIMARY,,
dashboard.html,Screenshot evidence review,./artifacts/site-audit/screenshot-review.md,OK,YES,LIMITATION,,
evidence-library/index.html,Jeremy Fontenot Evidence-first IT portfolio,../index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Home,../index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Projects,../projects.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Proof,../proof.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Dashboard,../dashboard.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Resume,../resume.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Contact,../contact.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Open Proof Index,../proof.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Open Export README,./projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/README.md,OK,YES,SUPPORTING,,
evidence-library/index.html,control file Open file,./projects/microsoft-365-lab/m365-entra-site-proof-map-20260605.md,OK,YES,LIMITATION,,
evidence-library/index.html,summary Open file,./projects/microsoft-365-lab/m365-entra-live-proof-summary-20260605.md,OK,YES,LIMITATION,,
evidence-library/index.html,verified export Open file,./projects/microsoft-365-lab/m365-entra-proof-inventory-20260605.csv,OK,YES,PRIMARY,,
evidence-library/index.html,hash available Open file,./projects/microsoft-365-lab/m365-entra-proof-hashes-20260605.csv,OK,YES,INDEX,,
evidence-library/index.html,verified export Open file,./projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/README.md,OK,YES,SUPPORTING,,
evidence-library/index.html,hash available Open file,./projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/microsoft-365-lab-evidence-manifest-20260605.csv,OK,YES,INDEX,,
evidence-library/index.html,Projects,../projects.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Proof,../proof.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Dashboard,../dashboard.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Resume,../resume.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/index.html,Contact,../contact.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Jeremy Fontenot IT operations portfolio,../../index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Home,../../index.html,BROKEN,NO,INDEX,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Dashboard,../../dashboard.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Projects,../../projects.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Proof,../../proof.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Resume,../../resume.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
evidence-library/preserved-sharepoint/index.html,Contact,../../contact.html,BROKEN,NO,SUPPORTING,Local evidence target does not exist in tracked website repository.,Correct the relative path or remove the public evidence link until the target exists.
