claim_id,canonical_claim,locations,current_classification,current_links,current_link_types,direct_evidence_found,direct_evidence_repository,direct_evidence_path,direct_evidence_type,supporting_evidence_path,provenance_path,public_safety,sanitization_notes,recommended_classification,limitation,remediation_action,status
ACT-CLAIM-011,The DNS screenshot displays forward and reverse DNS zone state for DC01.,on-prem-home-lab.html:figure captions; proof.html:screenshot evidence,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-04-dc01-dns-forward-reverse-zones.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-04-dc01-dns-forward-reverse-zones.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; no OCR performed.,Validated if visible contents match caption,Visual evidence only; does not prove all DNS records are correct.,Add sanitized exported DNS evidence for command-verifiable support.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
ACT-CLAIM-012,The DHCP screenshot displays DC01 DHCP scope and option state.,on-prem-home-lab.html:figure captions; proof.html:screenshot evidence,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-05-dc01-dhcp-scope-options.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-05-dc01-dhcp-scope-options.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; no OCR performed.,Validated if visible contents match caption,Visual evidence only; does not prove full DHCP service health.,Add sanitized DHCP export if making command-verified claim.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
ACT-CLAIM-013,The GPO screenshot displays a Group Policy inventory state.,on-prem-home-lab.html:figure captions; proof.html:screenshot evidence,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-07-dc01-gpo-inventory.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-07-dc01-gpo-inventory.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; no OCR performed.,Validated if visible contents match caption,Visual evidence only; does not prove policy application to every endpoint.,Add sanitized GPO export if broader claim remains.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
ACT-CLAIM-014,The Linux01 screenshot displays Linux system state evidence.,on-prem-home-lab.html:figure captions; proof.html:screenshot evidence,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-12-linux01-system-state.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-12-linux01-system-state.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; no OCR performed.,Validated if visible contents match caption,Pair with Linux01 inventory for direct command output.,Do not use screenshot alone for SSSD/Kerberos/UFW/sudo claims.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
ACT-CLAIM-015,The evidence archive screenshot displays central evidence export/hash state.,on-prem-home-lab.html:figure captions,Validated,evidence-library/projects/on-prem-home-lab/screenshots/figure-15-dc01-central-evidence-export-validation.png,VISUAL,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/screenshots/figure-15-dc01-central-evidence-export-validation.png,VISUAL,evidence-library/projects/on-prem-home-lab/screenshots/screenshots-manifest.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,NOT_INSPECTED_BINARY,Binary screenshot path exists; no OCR performed.,Validated if visible contents match caption,Visual hash display does not replace manifest/provenance records.,Pair with public hash/provenance records rather than label as full evidence.,DIRECT_PUBLIC_VISUAL_NOT_INSPECTED
ACT-CLAIM-016,The Proxmox backup storage named backup-hdd is mounted at /mnt/pve/backup-hdd.,index.html:current supported state; on-prem-home-lab.html:architecture layers; proof.html:home lab proof,Current; Validated,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY/PROCEDURE,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Public evidence directly lists mounted storage and path.,Validated,Does not prove disk health beyond captured state.,Keep direct link.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-017,"The backup job backup-critical-lab-vms uses snapshot mode, zstd compression, keep-last=4 retention, and covers VMs 100/200/300/400.",index.html:current supported state; projects.html:home-lab validation; on-prem-home-lab.html:backup card; home-lab-operations-proof.html:inventory table; proof.html:home lab proof,Current; Validated,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt; evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,PRIMARY/PROCEDURE; SUPPORTING,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Public text evidence directly lists backup job properties.,Validated,Configured retention does not prove restore success for every VM.,Keep direct evidence link; avoid assigning backup evidence to unrelated claims.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-018,"Backup counts showed four retained backups for each VM 100, 200, 300, and 400 at capture time.",on-prem-home-lab.html:backup card; proof.html:home lab proof,Current; Validated,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY/PROCEDURE,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Public text evidence lists per-VM backup counts.,Validated,Point-in-time count only.,Keep point-in-time wording.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-019,"An isolated Linux01 restore drill restored VM 400 to temporary VM 401, isolated networking before boot, verified Ubuntu 26.04 LTS startup and QEMU Guest Agent communication, then shut down and purged VM 401.",on-prem-home-lab.html:validated state and restore card; proof.html:home lab proof,Tested; Validated,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PRIMARY/PROCEDURE,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Public text evidence records restore procedure and result.,Validated,Isolated Linux01 drill only; no recurring restore assurance or RTO/RPO.,Keep direct restore evidence link and limitation.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-020,"The restore drill does not prove recurring restore assurance, disaster recovery, RTO, or RPO.",on-prem-home-lab.html:restore limitation; home-lab-operations-proof.html:boundaries; proof.html:home lab proof; dashboard.html:limitations,Limitation,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md; evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,SUPPORTING; PRIMARY/PROCEDURE,YES,jeremyfontenot,evidence-library/projects/on-prem-home-lab/validated-2026-06-29/home-lab-backup-restore-validation-20260629.txt,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/backup-and-restore-validation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Direct restore artifact supports the narrow scope; limitation remains a public boundary statement.,Limitation,"Keep as limitation, not proof of additional capability.",Retain limitation wherever restore claim appears.,LIMITATION_SUPPORTED
ACT-CLAIM-021,"The lab has an OpenVPN management path used for controlled management access, with DC01 DNS/RDP reachability observed from that path.",index.html:current supported state; projects.html:home-lab evidence; on-prem-home-lab.html:topology; proof.html:home lab proof; resume.html:Linux/networking skills,Current; Validated,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Source reconciliation records observed reachability and timeout-only boundaries.,Validated,TCP reachability is not full service validation.,Change public link label from full evidence to reconciliation summary unless sanitized direct capture is published.,DIRECT_SOURCE_AVAILABLE
ACT-CLAIM-022,Expected blocked management-path tests timed out for DC01 SMB 445 and pfSense WAN direct RDP 3389.,home-lab-operations-proof.html:boundaries; proof.html:home lab proof limitation,Tested; Limitation,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/home-lab-source-reconciliation-20260626-012606.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/home-lab-source-reconciliation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Source records timeout-only result; wording must not become outage or full firewall assurance.,Limitation,Timeout-only evidence; does not prove full segmentation policy.,Keep timeout-only wording and publish sanitized direct result only if needed.,DIRECT_SOURCE_AVAILABLE
ACT-CLAIM-023,Linux01 initially had SSSD responder activation conflicts involving enabled failed sockets and a rejected config_file_version=2 directive.,home-lab-operations-proof.html:SSSD issue section; proof.html:home lab proof; on-prem-home-lab.html:Linux01 card,Validated,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw remediation evidence includes root paths and identity test details; publish sanitized procedure excerpt.,Validated,Applies to Linux01 in the personal lab only.,Publish sanitized SSSD diagnostic excerpt or relabel current link as supporting summary.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-024,"Linux01 SSSD remediation removed only the rejected directive, disabled conflicting NSS/PAM/PAC sockets, restarted SSSD, and cleared failed-unit state.",home-lab-operations-proof.html:SSSD remediation section; proof.html:home lab proof; on-prem-home-lab.html:Linux01 card,Validated,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Raw evidence includes file paths and account identity; sanitized direct procedure excerpt required.,Validated,No broader Linux hardening assurance implied.,Publish sanitized remediation-step excerpt or relabel summary link.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-025,"Post-remediation validation showed sssd.service enabled/active, zero failed units, SSSD config validation passed, AD identity lookup passed, and a new AD-authenticated SSH session passed.",home-lab-operations-proof.html:validation results; proof.html:home lab proof; on-prem-home-lab.html:Linux01 card; resume.html:Linux/networking skills,Validated; Tested,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Direct procedure exists but raw identity/host details should be reduced before publication.,Validated,Validates Linux01 SSSD/SSH path only; not all domain-authentication scenarios.,Publish sanitized validation excerpt; do not use unrelated SSSD evidence for non-Linux claims.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-026,Pre- and post-remediation SSSD hashes were recorded for provenance.,home-lab-operations-proof.html:SSSD traceability; proof.html:home lab proof,Validated,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,SUPPORTING,YES,jeremy-homelab-ops,evidence/linux01-sssd-remediation-20260626-110159.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/current-validated-state/source-summaries/linux01-sssd-remediation.md,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SANITIZE,Hashes are safe but raw file includes adjacent root paths and identity validation details.,Validated,Hash traceability does not prove a broader control framework.,Publish hash-only/provenance excerpt rather than raw remediation record.,DIRECT_SOURCE_AVAILABLE_SANITIZE
ACT-CLAIM-027,The repository structure validation script passed with pwsh -NoProfile -File .\tests\Test-RepositoryStructure.ps1.,home-lab-operations-proof.html:validation table; projects.html:automation project,Tested; Verified,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,SUPPORTING,YES,jeremy-homelab-ops,evidence/repository-validation-20260626-010050.md,PROCEDURE,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Procedure artifact exists but predates the audited ops commit; use with a recency limitation.,Validated with limitation,Direct result artifact is not from audited ops commit 6b9f043; rerun/capture if presenting as current.,Collect commit-specific validation output or downgrade to documented prior pass.,DIRECT_SOURCE_AVAILABLE_WITH_RECENCY_LIMITATION
ACT-CLAIM-028,The HomeLab baseline framework test passed.,home-lab-operations-proof.html:validation table; projects.html:automation project,Tested; Verified,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,SUPPORTING,NO,,,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,Only a public operations summary row was found; no direct command output artifact matched this pass at the audited commit.,Documented until direct test output is collected,Summary-only pass statement.,Collect direct read-only test output or downgrade from Verified/Tested.,SUPPORTING_ONLY_NEEDS_DOWNGRADE
ACT-CLAIM-029,The portfolio home-lab drift validation test passed.,home-lab-operations-proof.html:validation table; projects.html:automation project,Tested; Verified,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,SUPPORTING,NO,,,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,No direct captured output for this specific drift test was found in active public evidence or ops source evidence.,Documented until direct test output is collected,Summary-only pass statement.,Collect direct test output or downgrade public classification.,SUPPORTING_ONLY_NEEDS_DOWNGRADE
ACT-CLAIM-030,"JSON parsing, PowerShell parser validation, Bash syntax checks, policy-aware connectivity checks, and Git whitespace checks were included in the operations validation set.",home-lab-operations-proof.html:validation table; projects.html:automation project,Tested; Verified,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,SUPPORTING,NO,,,,evidence-library/projects/on-prem-home-lab/validated-2026-06-26/operations-validation-summary.json,evidence-library/projects/on-prem-home-lab/current-validated-state/provenance.json,SAFE,"Summary lists validation categories, but direct per-check output was not found for every named check.",Documented partial validation,Do not present as fully command-verified without direct command output for each check.,Collect direct outputs per check or narrow wording.,SUPPORTING_ONLY_NEEDS_DOWNGRADE
ACT-CLAIM-031,"Microsoft 365 evidence includes tenant, organization, domain, and subscribed SKU exports for the personal tenant.",index.html:M365 card; projects.html:M365 project; proof.html:M365 proof; resume.html:M365 familiarity,Validated,evidence-library/projects/microsoft-365-lab/m365-entra-site-proof-map-20260605.md; evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/tenant-organization-domains-skus.json,INDEX/SUPPORTING; PRIMARY,YES,jeremyfontenot,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/tenant-organization-domains-skus.json,PRIMARY,evidence-library/projects/microsoft-365-lab/m365-entra-site-proof-map-20260605.md,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/microsoft-365-lab-evidence-manifest-20260605.csv,SAFE,Public curated tenant export exists; no secret-bearing artifact class identified.,Validated,Personal tenant artifacts only; no employer/client tenant administration.,Keep direct JSON evidence paired with proof map.,DIRECT_PUBLIC_EVIDENCE
ACT-CLAIM-032,Microsoft 365 evidence includes tenant users and groups.,index.html:M365 card; projects.html:M365 project; proof.html:M365 proof; resume.html:M365 familiarity,Validated,evidence-library/projects/microsoft-365-lab/m365-entra-site-proof-map-20260605.md; evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/entra-users-license-state.csv; evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/entra-groups.csv,INDEX/SUPPORTING; PRIMARY; PRIMARY,YES,jeremyfontenot,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/entra-users-license-state.csv; evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/entra-groups.csv,PRIMARY,evidence-library/projects/microsoft-365-lab/m365-entra-site-proof-map-20260605.md,evidence-library/projects/microsoft-365-lab/evidence/entra-exports-20260605-073748/microsoft-365-lab-evidence-manifest-20260605.csv,SAFE,Evidence is already public and curated; no passwords/tokens/private keys identified by sampled inspection.,Validated,Does not prove production tenant administration.,Keep direct CSV links; avoid using this evidence for non-M365 claims.,DIRECT_PUBLIC_EVIDENCE
